4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
4290	1
3047	1
2158	0
2962	0
1663	1
4736	1
966	0
568	1
